PriceList,Catalog,GradeGroup,Price
EQ3 EXW US V5,30136-15,10,623.0
EQ3 EXW US V5,30136-15,20,663.0
EQ3 EXW US V5,30136-15,30,693.0
EQ3 EXW US V5,30136-15,31,693.0
EQ3 EXW US V5,30136-15,40,723.0
EQ3 EXW US V5,30136-15,50,773.0
EQ3 EXW US V5,30136-15,60,823.0
EQ3 EXW US V5,30136-15,70,873.0
EQ3 EXW US V5,30136-15,F,1472.6675
EQ3 EXW US V5,30136-15,I,1622.6675
EQ3 EXW US V5,30136-15,41,nan
EQ3 EXW US V5,30136-15,42,nan
EQ3 EXW US V5,30136-16,10,623.0
EQ3 EXW US V5,30136-16,20,663.0
EQ3 EXW US V5,30136-16,30,693.0
EQ3 EXW US V5,30136-16,31,693.0
EQ3 EXW US V5,30136-16,40,723.0
EQ3 EXW US V5,30136-16,50,773.0
EQ3 EXW US V5,30136-16,60,823.0
EQ3 EXW US V5,30136-16,70,873.0
EQ3 EXW US V5,30136-16,F,1472.6675
EQ3 EXW US V5,30136-16,I,1622.6675
EQ3 EXW US V5,30136-16,41,nan
EQ3 EXW US V5,30136-16,42,nan
EQ3 EXW US V5,30136-19,10,630.0
EQ3 EXW US V5,30136-19,20,670.0
EQ3 EXW US V5,30136-19,30,700.0
EQ3 EXW US V5,30136-19,31,700.0
EQ3 EXW US V5,30136-19,40,730.0
EQ3 EXW US V5,30136-19,50,780.0
EQ3 EXW US V5,30136-19,60,830.0
EQ3 EXW US V5,30136-19,70,880.0
EQ3 EXW US V5,30136-19,F,1480.28
EQ3 EXW US V5,30136-19,I,1630.28
EQ3 EXW US V5,30136-19,41,nan
EQ3 EXW US V5,30136-19,42,nan
EQ3 EXW US V5,30136-20,10,630.0
EQ3 EXW US V5,30136-20,20,670.0
EQ3 EXW US V5,30136-20,30,700.0
EQ3 EXW US V5,30136-20,31,700.0
EQ3 EXW US V5,30136-20,40,730.0
EQ3 EXW US V5,30136-20,50,780.0
EQ3 EXW US V5,30136-20,60,830.0
EQ3 EXW US V5,30136-20,70,880.0
EQ3 EXW US V5,30136-20,F,1480.28
EQ3 EXW US V5,30136-20,I,1630.28
EQ3 EXW US V5,30136-20,41,nan
EQ3 EXW US V5,30136-20,42,nan
EQ3 EXW US V5,30136-35,10,624.0
EQ3 EXW US V5,30136-35,20,664.0
EQ3 EXW US V5,30136-35,30,694.0
EQ3 EXW US V5,30136-35,31,694.0
EQ3 EXW US V5,30136-35,40,724.0
EQ3 EXW US V5,30136-35,50,774.0
EQ3 EXW US V5,30136-35,60,824.0
EQ3 EXW US V5,30136-35,70,874.0
EQ3 EXW US V5,30136-35,F,1303.7525
EQ3 EXW US V5,30136-35,I,1423.7525
EQ3 EXW US V5,30136-35,41,nan
EQ3 EXW US V5,30136-35,42,nan
EQ3 EXW US V5,30136-36,10,624.0
EQ3 EXW US V5,30136-36,20,664.0
EQ3 EXW US V5,30136-36,30,694.0
EQ3 EXW US V5,30136-36,31,694.0
EQ3 EXW US V5,30136-36,40,724.0
EQ3 EXW US V5,30136-36,50,774.0
EQ3 EXW US V5,30136-36,60,824.0
EQ3 EXW US V5,30136-36,70,874.0
EQ3 EXW US V5,30136-36,F,1303.7525
EQ3 EXW US V5,30136-36,I,1423.7525
EQ3 EXW US V5,30136-36,41,nan
EQ3 EXW US V5,30136-36,42,nan
EQ3 EXW US V5,30136-41,10,66.0
EQ3 EXW US V5,30136-41,20,71.0
EQ3 EXW US V5,30136-41,30,76.0
EQ3 EXW US V5,30136-41,31,76.0
EQ3 EXW US V5,30136-41,40,81.0
EQ3 EXW US V5,30136-41,50,91.0
EQ3 EXW US V5,30136-41,60,101.0
EQ3 EXW US V5,30136-41,70,106.0
EQ3 EXW US V5,30136-41,F,236.465
EQ3 EXW US V5,30136-41,I,266.465
EQ3 EXW US V5,30136-41,41,nan
EQ3 EXW US V5,30136-41,42,nan
EQ3 EXW US V5,30136-64,10,175.0
EQ3 EXW US V5,30136-64,20,195.0
EQ3 EXW US V5,30136-64,30,210.0
EQ3 EXW US V5,30136-64,31,210.0
EQ3 EXW US V5,30136-64,40,230.0
EQ3 EXW US V5,30136-64,50,250.0
EQ3 EXW US V5,30136-64,60,270.0
EQ3 EXW US V5,30136-64,70,290.0
EQ3 EXW US V5,30136-64,F,450.19
EQ3 EXW US V5,30136-64,I,510.19
EQ3 EXW US V5,30136-64,41,230.19
EQ3 EXW US V5,30136-64,42,250.19
EQ3 EXW US V5,30136-71,10,376.0
EQ3 EXW US V5,30136-71,20,396.0
EQ3 EXW US V5,30136-71,30,411.0
EQ3 EXW US V5,30136-71,31,411.0
EQ3 EXW US V5,30136-71,40,431.0
EQ3 EXW US V5,30136-71,50,451.0
EQ3 EXW US V5,30136-71,60,471.0
EQ3 EXW US V5,30136-71,70,491.0
EQ3 EXW US V5,30136-71,F,716.0275
EQ3 EXW US V5,30136-71,I,866.0275
EQ3 EXW US V5,30136-71,41,nan
EQ3 EXW US V5,30136-71,42,nan
EQ3 EXW US V5,30136-74,10,207.0
EQ3 EXW US V5,30136-74,20,227.0
EQ3 EXW US V5,30136-74,30,242.0
EQ3 EXW US V5,30136-74,31,242.0
EQ3 EXW US V5,30136-74,40,262.0
EQ3 EXW US V5,30136-74,50,282.0
EQ3 EXW US V5,30136-74,60,302.0
EQ3 EXW US V5,30136-74,70,322.0
EQ3 EXW US V5,30136-74,F,481.7025
EQ3 EXW US V5,30136-74,I,541.7025
EQ3 EXW US V5,30136-74,41,261.7025
EQ3 EXW US V5,30136-74,42,281.7025
EQ3 EXW US V5,30137-01,10,900.0
EQ3 EXW US V5,30137-01,20,940.0
EQ3 EXW US V5,30137-01,30,970.0
EQ3 EXW US V5,30137-01,31,970.0
EQ3 EXW US V5,30137-01,40,1000.0
EQ3 EXW US V5,30137-01,50,1050.0
EQ3 EXW US V5,30137-01,60,1100.0
EQ3 EXW US V5,30137-01,70,1150.0
EQ3 EXW US V5,30137-01,F,1750.46
EQ3 EXW US V5,30137-01,I,1900.46
EQ3 EXW US V5,30137-01,41,nan
EQ3 EXW US V5,30137-01,42,nan
EQ3 EXW US V5,30137-03,10,809.0
EQ3 EXW US V5,30137-03,20,849.0
EQ3 EXW US V5,30137-03,30,879.0
EQ3 EXW US V5,30137-03,31,879.0
EQ3 EXW US V5,30137-03,40,909.0
EQ3 EXW US V5,30137-03,50,959.0
EQ3 EXW US V5,30137-03,60,1009.0
EQ3 EXW US V5,30137-03,70,1059.0
EQ3 EXW US V5,30137-03,F,1658.895
EQ3 EXW US V5,30137-03,I,1808.895
EQ3 EXW US V5,30137-03,41,nan
EQ3 EXW US V5,30137-03,42,nan
EQ3 EXW US V5,30137-06,10,586.0
EQ3 EXW US V5,30137-06,20,606.0
EQ3 EXW US V5,30137-06,30,621.0
EQ3 EXW US V5,30137-06,31,621.0
EQ3 EXW US V5,30137-06,40,641.0
EQ3 EXW US V5,30137-06,50,661.0
EQ3 EXW US V5,30137-06,60,681.0
EQ3 EXW US V5,30137-06,70,701.0
EQ3 EXW US V5,30137-06,F,-64.295
EQ3 EXW US V5,30137-06,I,85.705
EQ3 EXW US V5,30137-06,41,nan
EQ3 EXW US V5,30137-06,42,nan
EQ3 EXW US V5,30137-07,10,692.0
EQ3 EXW US V5,30137-07,20,732.0
EQ3 EXW US V5,30137-07,30,762.0
EQ3 EXW US V5,30137-07,31,762.0
EQ3 EXW US V5,30137-07,40,792.0
