PriceList,Catalog,GradeGroup,Price
EQ3 EXW CA V5,30136-07,I,1889.0
EQ3 EXW CA V5,30136-07,41,nan
EQ3 EXW CA V5,30136-07,42,nan
EQ3 EXW CA V5,30136-08,10,889.0
EQ3 EXW CA V5,30136-08,20,929.0
EQ3 EXW CA V5,30136-08,30,959.0
EQ3 EXW CA V5,30136-08,31,959.0
EQ3 EXW CA V5,30136-08,40,989.0
EQ3 EXW CA V5,30136-08,50,1039.0
EQ3 EXW CA V5,30136-08,60,1089.0
EQ3 EXW CA V5,30136-08,70,1139.0
EQ3 EXW CA V5,30136-08,F,1739.0
EQ3 EXW CA V5,30136-08,I,1889.0
EQ3 EXW CA V5,30136-08,41,nan
EQ3 EXW CA V5,30136-08,42,nan
EQ3 EXW CA V5,30136-09,10,585.0
EQ3 EXW CA V5,30136-09,20,605.0
EQ3 EXW CA V5,30136-09,30,620.0
EQ3 EXW CA V5,30136-09,31,620.0
EQ3 EXW CA V5,30136-09,40,655.0
EQ3 EXW CA V5,30136-09,50,690.0
EQ3 EXW CA V5,30136-09,60,725.0
EQ3 EXW CA V5,30136-09,70,760.0
EQ3 EXW CA V5,30136-09,F,1180.0
EQ3 EXW CA V5,30136-09,I,1285.0
EQ3 EXW CA V5,30136-09,41,nan
EQ3 EXW CA V5,30136-09,42,nan
EQ3 EXW CA V5,30136-10,10,423.0
EQ3 EXW CA V5,30136-10,20,443.0
EQ3 EXW CA V5,30136-10,30,458.0
EQ3 EXW CA V5,30136-10,31,458.0
EQ3 EXW CA V5,30136-10,40,478.0
EQ3 EXW CA V5,30136-10,50,498.0
EQ3 EXW CA V5,30136-10,60,518.0
EQ3 EXW CA V5,30136-10,70,538.0
EQ3 EXW CA V5,30136-10,F,763.0
EQ3 EXW CA V5,30136-10,I,823.0
EQ3 EXW CA V5,30136-10,41,nan
EQ3 EXW CA V5,30136-10,42,nan
EQ3 EXW CA V5,30136-11,10,506.0
EQ3 EXW CA V5,30136-11,20,526.0
EQ3 EXW CA V5,30136-11,30,541.0
EQ3 EXW CA V5,30136-11,31,541.0
EQ3 EXW CA V5,30136-11,40,576.0
EQ3 EXW CA V5,30136-11,50,611.0
EQ3 EXW CA V5,30136-11,60,646.0
EQ3 EXW CA V5,30136-11,70,681.0
EQ3 EXW CA V5,30136-11,F,1101.0
EQ3 EXW CA V5,30136-11,I,1206.0
EQ3 EXW CA V5,30136-11,41,nan
EQ3 EXW CA V5,30136-11,42,nan
EQ3 EXW CA V5,30136-12,10,506.0
EQ3 EXW CA V5,30136-12,20,526.0
EQ3 EXW CA V5,30136-12,30,541.0
EQ3 EXW CA V5,30136-12,31,541.0
EQ3 EXW CA V5,30136-12,40,576.0
EQ3 EXW CA V5,30136-12,50,611.0
EQ3 EXW CA V5,30136-12,60,646.0
EQ3 EXW CA V5,30136-12,70,681.0
EQ3 EXW CA V5,30136-12,F,1101.0
EQ3 EXW CA V5,30136-12,I,1206.0
EQ3 EXW CA V5,30136-12,41,nan
EQ3 EXW CA V5,30136-12,42,nan
EQ3 EXW CA V5,30136-14,10,796.0
EQ3 EXW CA V5,30136-14,20,816.0
EQ3 EXW CA V5,30136-14,30,831.0
EQ3 EXW CA V5,30136-14,31,831.0
EQ3 EXW CA V5,30136-14,40,846.0
